game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_bishop_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,move_sequence
01f451b0-b80b-4cfb-ace0-59ab1f40442f,52,26,Y_Daniil_tdk,g3,g4g3,g4,g3,P,Black,k3r2r/p1p5/2p1pp2/2Pp3p/3P3P/1N2P1p1/P4PP1/1R3RK1,0,0,0,0,0,0,11,11,7,8,0,0,0,0,1,0,2,2,d4|d5|Nf3|Nf6|Bg5|Nc6|e3|h6|Bh4|g5|Bg3|Nh5|Be5|f6|Bg3|Nxg3|hxg3|Bf5|Bd3|Qd7|O-O|O-O-O|Nbd2|h5|Bxf5|Qxf5|c4|g4|Nh4|Qd7|Qa4|Bh6|b4|Kb8|b5|Qe6|bxc6|Qxc6|Qxc6|bxc6|Nf5|Bg5|c5|Rde8|Rab1+|Ka8|Nb3|e6|Nh4|Bxh4|gxh4|g3
01f451b0-b80b-4cfb-ace0-59ab1f40442f,53,27,Dirki04,f3,f2f3,f2,f3,P,White,k3r2r/p1p5/2p1pp2/2Pp3p/3P3P/1N2PPp1/P5P1/1R3RK1,0,0,0,0,0,0,11,11,7,8,0,0,0,0,1,0,2,2,d4|d5|Nf3|Nf6|Bg5|Nc6|e3|h6|Bh4|g5|Bg3|Nh5|Be5|f6|Bg3|Nxg3|hxg3|Bf5|Bd3|Qd7|O-O|O-O-O|Nbd2|h5|Bxf5|Qxf5|c4|g4|Nh4|Qd7|Qa4|Bh6|b4|Kb8|b5|Qe6|bxc6|Qxc6|Qxc6|bxc6|Nf5|Bg5|c5|Rde8|Rab1+|Ka8|Nb3|e6|Nh4|Bxh4|gxh4|g3|f3
01f451b0-b80b-4cfb-ace0-59ab1f40442f,54,27,Y_Daniil_tdk,Reg8,e8g8,e8,g8,R,Black,k5rr/p1p5/2p1pp2/2Pp3p/3P3P/1N2PPp1/P5P1/1R3RK1,0,0,0,0,0,0,11,11,7,8,0,0,0,0,1,0,2,2,d4|d5|Nf3|Nf6|Bg5|Nc6|e3|h6|Bh4|g5|Bg3|Nh5|Be5|f6|Bg3|Nxg3|hxg3|Bf5|Bd3|Qd7|O-O|O-O-O|Nbd2|h5|Bxf5|Qxf5|c4|g4|Nh4|Qd7|Qa4|Bh6|b4|Kb8|b5|Qe6|bxc6|Qxc6|Qxc6|bxc6|Nf5|Bg5|c5|Rde8|Rab1+|Ka8|Nb3|e6|Nh4|Bxh4|gxh4|g3|f3|Reg8
01f451b0-b80b-4cfb-ace0-59ab1f40442f,55,28,Dirki04,Na5,b3a5,b3,a5,N,White,k5rr/p1p5/2p1pp2/N1Pp3p/3P3P/4PPp1/P5P1/1R3RK1,0,0,0,0,0,0,11,11,7,8,0,0,0,0,1,0,2,2,d4|d5|Nf3|Nf6|Bg5|Nc6|e3|h6|Bh4|g5|Bg3|Nh5|Be5|f6|Bg3|Nxg3|hxg3|Bf5|Bd3|Qd7|O-O|O-O-O|Nbd2|h5|Bxf5|Qxf5|c4|g4|Nh4|Qd7|Qa4|Bh6|b4|Kb8|b5|Qe6|bxc6|Qxc6|Qxc6|bxc6|Nf5|Bg5|c5|Rde8|Rab1+|Ka8|Nb3|e6|Nh4|Bxh4|gxh4|g3|f3|Reg8|Na5
01f451b0-b80b-4cfb-ace0-59ab1f40442f,56,28,Y_Daniil_tdk,e5,e6e5,e6,e5,P,Black,k5rr/p1p5/2p2p2/N1Ppp2p/3P3P/4PPp1/P5P1/1R3RK1,0,0,0,0,0,0,11,11,7,8,0,0,0,0,1,0,2,2,d4|d5|Nf3|Nf6|Bg5|Nc6|e3|h6|Bh4|g5|Bg3|Nh5|Be5|f6|Bg3|Nxg3|hxg3|Bf5|Bd3|Qd7|O-O|O-O-O|Nbd2|h5|Bxf5|Qxf5|c4|g4|Nh4|Qd7|Qa4|Bh6|b4|Kb8|b5|Qe6|bxc6|Qxc6|Qxc6|bxc6|Nf5|Bg5|c5|Rde8|Rab1+|Ka8|Nb3|e6|Nh4|Bxh4|gxh4|g3|f3|Reg8|Na5|e5
01f451b0-b80b-4cfb-ace0-59ab1f40442f,57,29,Dirki04,Nxc6,a5c6,a5,c6,N,White,k5rr/p1p5/2N2p2/2Ppp2p/3P3P/4PPp1/P5P1/1R3RK1,0,0,0,0,0,0,11,10,7,7,0,0,0,0,1,0,2,2,d4|d5|Nf3|Nf6|Bg5|Nc6|e3|h6|Bh4|g5|Bg3|Nh5|Be5|f6|Bg3|Nxg3|hxg3|Bf5|Bd3|Qd7|O-O|O-O-O|Nbd2|h5|Bxf5|Qxf5|c4|g4|Nh4|Qd7|Qa4|Bh6|b4|Kb8|b5|Qe6|bxc6|Qxc6|Qxc6|bxc6|Nf5|Bg5|c5|Rde8|Rab1+|Ka8|Nb3|e6|Nh4|Bxh4|gxh4|g3|f3|Reg8|Na5|e5|Nxc6
01f451b0-b80b-4cfb-ace0-59ab1f40442f,58,29,Y_Daniil_tdk,e4,e5e4,e5,e4,P,Black,k5rr/p1p5/2N2p2/2Pp3p/3Pp2P/4PPp1/P5P1/1R3RK1,0,0,0,0,0,0,11,10,7,7,0,0,0,0,1,0,2,2,d4|d5|Nf3|Nf6|Bg5|Nc6|e3|h6|Bh4|g5|Bg3|Nh5|Be5|f6|Bg3|Nxg3|hxg3|Bf5|Bd3|Qd7|O-O|O-O-O|Nbd2|h5|Bxf5|Qxf5|c4|g4|Nh4|Qd7|Qa4|Bh6|b4|Kb8|b5|Qe6|bxc6|Qxc6|Qxc6|bxc6|Nf5|Bg5|c5|Rde8|Rab1+|Ka8|Nb3|e6|Nh4|Bxh4|gxh4|g3|f3|Reg8|Na5|e5|Nxc6|e4
01f451b0-b80b-4cfb-ace0-59ab1f40442f,59,30,Dirki04,f4,f3f4,f3,f4,P,White,k5rr/p1p5/2N2p2/2Pp3p/3PpP1P/4P1p1/P5P1/1R3RK1,0,0,0,0,0,0,11,10,7,7,0,0,0,0,1,0,2,2,d4|d5|Nf3|Nf6|Bg5|Nc6|e3|h6|Bh4|g5|Bg3|Nh5|Be5|f6|Bg3|Nxg3|hxg3|Bf5|Bd3|Qd7|O-O|O-O-O|Nbd2|h5|Bxf5|Qxf5|c4|g4|Nh4|Qd7|Qa4|Bh6|b4|Kb8|b5|Qe6|bxc6|Qxc6|Qxc6|bxc6|Nf5|Bg5|c5|Rde8|Rab1+|Ka8|Nb3|e6|Nh4|Bxh4|gxh4|g3|f3|Reg8|Na5|e5|Nxc6|e4|f4
01f451b0-b80b-4cfb-ace0-59ab1f40442f,60,30,Y_Daniil_tdk,Rg4,g8g4,g8,g4,R,Black,k6r/p1p5/2N2p2/2Pp3p/3PpPrP/4P1p1/P5P1/1R3RK1,0,0,0,0,0,0,11,10,7,7,0,0,0,0,1,0,2,2,d4|d5|Nf3|Nf6|Bg5|Nc6|e3|h6|Bh4|g5|Bg3|Nh5|Be5|f6|Bg3|Nxg3|hxg3|Bf5|Bd3|Qd7|O-O|O-O-O|Nbd2|h5|Bxf5|Qxf5|c4|g4|Nh4|Qd7|Qa4|Bh6|b4|Kb8|b5|Qe6|bxc6|Qxc6|Qxc6|bxc6|Nf5|Bg5|c5|Rde8|Rab1+|Ka8|Nb3|e6|Nh4|Bxh4|gxh4|g3|f3|Reg8|Na5|e5|Nxc6|e4|f4|Rg4
01f451b0-b80b-4cfb-ace0-59ab1f40442f,61,31,Dirki04,Rb2,b1b2,b1,b2,R,White,k6r/p1p5/2N2p2/2Pp3p/3PpPrP/4P1p1/PR4P1/5RK1,0,0,0,0,0,0,11,10,7,7,0,0,0,0,1,0,2,2,d4|d5|Nf3|Nf6|Bg5|Nc6|e3|h6|Bh4|g5|Bg3|Nh5|Be5|f6|Bg3|Nxg3|hxg3|Bf5|Bd3|Qd7|O-O|O-O-O|Nbd2|h5|Bxf5|Qxf5|c4|g4|Nh4|Qd7|Qa4|Bh6|b4|Kb8|b5|Qe6|bxc6|Qxc6|Qxc6|bxc6|Nf5|Bg5|c5|Rde8|Rab1+|Ka8|Nb3|e6|Nh4|Bxh4|gxh4|g3|f3|Reg8|Na5|e5|Nxc6|e4|f4|Rg4|Rb2
