game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_bishop_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,move_sequence
1fe60604-000f-4208-83c9-083e12d9674b,38,19,noel2020,Bxb2,e5b2,e5,b2,B,Black,rn3qk1/2pp1p1p/2b2p2/p2N1N2/1pB2P2/8/PbPQ2PP/4R1K1,0,0,0,0,0,0,11,13,5,7,1,1,1,2,2,1,1,1,e4|a6|Nf3|b5|d4|Bb7|Nc3|b4|Nd5|e6|Ne3|Bxe4|Be2|Bc6|d5|exd5|Nxd5|Nf6|Bg5|Be7|Bxf6|gxf6|O-O|O-O|Re1|Bd6|Bc4|Re8|Qd2|Rxe1+|Rxe1|a5|Nh4|Qf8|Nf5|Be5|f4|Bxb2
1fe60604-000f-4208-83c9-083e12d9674b,39,20,Waleed-2050,Qe2,d2e2,d2,e2,Q,White,rn3qk1/2pp1p1p/2b2p2/p2N1N2/1pB2P2/8/PbP1Q1PP/4R1K1,0,0,0,0,0,0,11,13,5,7,1,1,1,2,2,1,1,1,e4|a6|Nf3|b5|d4|Bb7|Nc3|b4|Nd5|e6|Ne3|Bxe4|Be2|Bc6|d5|exd5|Nxd5|Nf6|Bg5|Be7|Bxf6|gxf6|O-O|O-O|Re1|Bd6|Bc4|Re8|Qd2|Rxe1+|Rxe1|a5|Nh4|Qf8|Nf5|Be5|f4|Bxb2|Qe2
1fe60604-000f-4208-83c9-083e12d9674b,40,20,noel2020,Na6,b8a6,b8,a6,N,Black,r4qk1/2pp1p1p/n1b2p2/p2N1N2/1pB2P2/8/PbP1Q1PP/4R1K1,0,0,0,0,0,0,11,13,5,7,1,1,1,2,2,1,1,1,e4|a6|Nf3|b5|d4|Bb7|Nc3|b4|Nd5|e6|Ne3|Bxe4|Be2|Bc6|d5|exd5|Nxd5|Nf6|Bg5|Be7|Bxf6|gxf6|O-O|O-O|Re1|Bd6|Bc4|Re8|Qd2|Rxe1+|Rxe1|a5|Nh4|Qf8|Nf5|Be5|f4|Bxb2|Qe2|Na6
1fe60604-000f-4208-83c9-083e12d9674b,41,21,Waleed-2050,Qg4+,e2g4,e2,g4,Q,White,r4qk1/2pp1p1p/n1b2p2/p2N1N2/1pB2PQ1/8/PbP3PP/4R1K1,1,0,0,0,0,0,11,13,5,7,1,1,1,2,2,1,1,1,e4|a6|Nf3|b5|d4|Bb7|Nc3|b4|Nd5|e6|Ne3|Bxe4|Be2|Bc6|d5|exd5|Nxd5|Nf6|Bg5|Be7|Bxf6|gxf6|O-O|O-O|Re1|Bd6|Bc4|Re8|Qd2|Rxe1+|Rxe1|a5|Nh4|Qf8|Nf5|Be5|f4|Bxb2|Qe2|Na6|Qg4+
1fe60604-000f-4208-83c9-083e12d9674b,42,21,noel2020,Kh8,g8h8,g8,h8,K,Black,r4q1k/2pp1p1p/n1b2p2/p2N1N2/1pB2PQ1/8/PbP3PP/4R1K1,0,0,0,0,0,0,11,13,5,7,1,1,1,2,2,1,1,1,e4|a6|Nf3|b5|d4|Bb7|Nc3|b4|Nd5|e6|Ne3|Bxe4|Be2|Bc6|d5|exd5|Nxd5|Nf6|Bg5|Be7|Bxf6|gxf6|O-O|O-O|Re1|Bd6|Bc4|Re8|Qd2|Rxe1+|Rxe1|a5|Nh4|Qf8|Nf5|Be5|f4|Bxb2|Qe2|Na6|Qg4+|Kh8
1fe60604-000f-4208-83c9-083e12d9674b,43,22,Waleed-2050,Nxf6,d5f6,d5,f6,N,White,r4q1k/2pp1p1p/n1b2N2/p4N2/1pB2PQ1/8/PbP3PP/4R1K1,0,0,0,0,0,0,11,12,5,6,1,1,1,2,2,1,1,1,e4|a6|Nf3|b5|d4|Bb7|Nc3|b4|Nd5|e6|Ne3|Bxe4|Be2|Bc6|d5|exd5|Nxd5|Nf6|Bg5|Be7|Bxf6|gxf6|O-O|O-O|Re1|Bd6|Bc4|Re8|Qd2|Rxe1+|Rxe1|a5|Nh4|Qf8|Nf5|Be5|f4|Bxb2|Qe2|Na6|Qg4+|Kh8|Nxf6
1fe60604-000f-4208-83c9-083e12d9674b,44,22,noel2020,Qg7,f8g7,f8,g7,Q,Black,r6k/2pp1pqp/n1b2N2/p4N2/1pB2PQ1/8/PbP3PP/4R1K1,0,0,0,0,0,0,11,12,5,6,1,1,1,2,2,1,1,1,e4|a6|Nf3|b5|d4|Bb7|Nc3|b4|Nd5|e6|Ne3|Bxe4|Be2|Bc6|d5|exd5|Nxd5|Nf6|Bg5|Be7|Bxf6|gxf6|O-O|O-O|Re1|Bd6|Bc4|Re8|Qd2|Rxe1+|Rxe1|a5|Nh4|Qf8|Nf5|Be5|f4|Bxb2|Qe2|Na6|Qg4+|Kh8|Nxf6|Qg7
1fe60604-000f-4208-83c9-083e12d9674b,45,23,Waleed-2050,Qxg7#,g4g7,g4,g7,Q,White,r6k/2pp1pQp/n1b2N2/p4N2/1pB2P2/8/PbP3PP/4R1K1,1,1,0,0,1,0,11,11,5,6,1,0,1,2,2,1,1,1,e4|a6|Nf3|b5|d4|Bb7|Nc3|b4|Nd5|e6|Ne3|Bxe4|Be2|Bc6|d5|exd5|Nxd5|Nf6|Bg5|Be7|Bxf6|gxf6|O-O|O-O|Re1|Bd6|Bc4|Re8|Qd2|Rxe1+|Rxe1|a5|Nh4|Qf8|Nf5|Be5|f4|Bxb2|Qe2|Na6|Qg4+|Kh8|Nxf6|Qg7|Qxg7#
be21c928-29a9-47e7-b3b3-71999decbc20,51,26,SuplexTrains,Bxh6,c1h6,c1,h6,B,White,r4r2/1p1b3k/p2q1n1B/2p1n3/8/3P1P2/PPP2P1P/R6K,0,0,0,0,0,0,10,10,7,3,0,1,1,1,0,2,1,2,e4|c5|Bc4|Nc6|Nc3|d6|Qf3|e6|Nh3|Nf6|Ng5|Be7|e5|Nxe5|Qe3|Nxc4|Qd3|Ne5|Qe4|h6|Qa4+|Bd7|Nb5|a6|Nxd6+|Bxd6|Nxf7|Kxf7|Qh4|Ng6|Qg3|Rf8|Qxd6|Qe7|Qd3|e5|Qf3|e4|O-O|exf3|gxf3|Qd6|Kh1|Kg8|Rg1|Ne5|Rxg7+|Kxg7|d3|Kh7|Bxh6
be21c928-29a9-47e7-b3b3-71999decbc20,52,26,Alexsoulsay,Kxh6,h7h6,h7,h6,K,Black,r4r2/1p1b4/p2q1n1k/2p1n3/8/3P1P2/PPP2P1P/R6K,0,0,0,0,0,0,9,10,7,3,0,1,0,1,0,2,1,2,e4|c5|Bc4|Nc6|Nc3|d6|Qf3|e6|Nh3|Nf6|Ng5|Be7|e5|Nxe5|Qe3|Nxc4|Qd3|Ne5|Qe4|h6|Qa4+|Bd7|Nb5|a6|Nxd6+|Bxd6|Nxf7|Kxf7|Qh4|Ng6|Qg3|Rf8|Qxd6|Qe7|Qd3|e5|Qf3|e4|O-O|exf3|gxf3|Qd6|Kh1|Kg8|Rg1|Ne5|Rxg7+|Kxg7|d3|Kh7|Bxh6|Kxh6
