game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_bishop_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,move_sequence
27354758-0149-4e8c-9eef-4a9ddcf939d0,54,27,galunGGong,Qf6,e5f6,e5,f6,Q,Black,2r2r1k/3n1n1p/1p2pq1b/p2p1p2/3N4/2P4P/PP2R3/K2Q1NR1,0,0,0,0,0,0,10,13,4,6,1,1,0,1,2,2,2,2,e4|g6|f4|Bg7|Nf3|Nh6|c3|f6|d4|Nf7|Bc4|e6|e5|O-O|Be3|d5|Bd3|f5|Nbd2|b6|Qe2|a5|h3|Ba6|g4|Bxd3|Qxd3|Kh8|O-O-O|Nd7|Kb1|Qc8|gxf5|gxf5|Rdg1|Qa6|Qc2|c5|Rg2|Rac8|Qd1|Qd3+|Ka1|Qxe3|Re1|Qxf4|Reg1|Bh6|Nf1|cxd4|Nxd4|Qxe5|Re2|Qf6
27354758-0149-4e8c-9eef-4a9ddcf939d0,55,28,Friendly95,Rxe6,e2e6,e2,e6,R,White,2r2r1k/3n1n1p/1p2Rq1b/p2p1p2/3N4/2P4P/PP6/K2Q1NR1,0,0,0,0,0,0,10,12,4,5,1,1,0,1,2,2,2,2,e4|g6|f4|Bg7|Nf3|Nh6|c3|f6|d4|Nf7|Bc4|e6|e5|O-O|Be3|d5|Bd3|f5|Nbd2|b6|Qe2|a5|h3|Ba6|g4|Bxd3|Qxd3|Kh8|O-O-O|Nd7|Kb1|Qc8|gxf5|gxf5|Rdg1|Qa6|Qc2|c5|Rg2|Rac8|Qd1|Qd3+|Ka1|Qxe3|Re1|Qxf4|Reg1|Bh6|Nf1|cxd4|Nxd4|Qxe5|Re2|Qf6|Rxe6
27354758-0149-4e8c-9eef-4a9ddcf939d0,56,28,galunGGong,Qh4,f6h4,f6,h4,Q,Black,2r2r1k/3n1n1p/1p2R2b/p2p1p2/3N3q/2P4P/PP6/K2Q1NR1,0,0,0,0,0,0,10,12,4,5,1,1,0,1,2,2,2,2,e4|g6|f4|Bg7|Nf3|Nh6|c3|f6|d4|Nf7|Bc4|e6|e5|O-O|Be3|d5|Bd3|f5|Nbd2|b6|Qe2|a5|h3|Ba6|g4|Bxd3|Qxd3|Kh8|O-O-O|Nd7|Kb1|Qc8|gxf5|gxf5|Rdg1|Qa6|Qc2|c5|Rg2|Rac8|Qd1|Qd3+|Ka1|Qxe3|Re1|Qxf4|Reg1|Bh6|Nf1|cxd4|Nxd4|Qxe5|Re2|Qf6|Rxe6|Qh4
27354758-0149-4e8c-9eef-4a9ddcf939d0,57,29,Friendly95,Nxf5,d4f5,d4,f5,N,White,2r2r1k/3n1n1p/1p2R2b/p2p1N2/7q/2P4P/PP6/K2Q1NR1,0,0,0,0,0,0,10,11,4,4,1,1,0,1,2,2,2,2,e4|g6|f4|Bg7|Nf3|Nh6|c3|f6|d4|Nf7|Bc4|e6|e5|O-O|Be3|d5|Bd3|f5|Nbd2|b6|Qe2|a5|h3|Ba6|g4|Bxd3|Qxd3|Kh8|O-O-O|Nd7|Kb1|Qc8|gxf5|gxf5|Rdg1|Qa6|Qc2|c5|Rg2|Rac8|Qd1|Qd3+|Ka1|Qxe3|Re1|Qxf4|Reg1|Bh6|Nf1|cxd4|Nxd4|Qxe5|Re2|Qf6|Rxe6|Qh4|Nxf5
27354758-0149-4e8c-9eef-4a9ddcf939d0,58,29,galunGGong,Qxh3,h4h3,h4,h3,Q,Black,2r2r1k/3n1n1p/1p2R2b/p2p1N2/8/2P4q/PP6/K2Q1NR1,0,0,0,0,0,0,9,11,3,4,1,1,0,1,2,2,2,2,e4|g6|f4|Bg7|Nf3|Nh6|c3|f6|d4|Nf7|Bc4|e6|e5|O-O|Be3|d5|Bd3|f5|Nbd2|b6|Qe2|a5|h3|Ba6|g4|Bxd3|Qxd3|Kh8|O-O-O|Nd7|Kb1|Qc8|gxf5|gxf5|Rdg1|Qa6|Qc2|c5|Rg2|Rac8|Qd1|Qd3+|Ka1|Qxe3|Re1|Qxf4|Reg1|Bh6|Nf1|cxd4|Nxd4|Qxe5|Re2|Qf6|Rxe6|Qh4|Nxf5|Qxh3
27354758-0149-4e8c-9eef-4a9ddcf939d0,59,30,Friendly95,Nxh6,f5h6,f5,h6,N,White,2r2r1k/3n1n1p/1p2R2N/p2p4/8/2P4q/PP6/K2Q1NR1,0,0,0,0,0,0,9,10,3,4,1,1,0,0,2,2,2,2,e4|g6|f4|Bg7|Nf3|Nh6|c3|f6|d4|Nf7|Bc4|e6|e5|O-O|Be3|d5|Bd3|f5|Nbd2|b6|Qe2|a5|h3|Ba6|g4|Bxd3|Qxd3|Kh8|O-O-O|Nd7|Kb1|Qc8|gxf5|gxf5|Rdg1|Qa6|Qc2|c5|Rg2|Rac8|Qd1|Qd3+|Ka1|Qxe3|Re1|Qxf4|Reg1|Bh6|Nf1|cxd4|Nxd4|Qxe5|Re2|Qf6|Rxe6|Qh4|Nxf5|Qxh3|Nxh6
27354758-0149-4e8c-9eef-4a9ddcf939d0,60,30,galunGGong,Nxh6,f7h6,f7,h6,N,Black,2r2r1k/3n3p/1p2R2n/p2p4/8/2P4q/PP6/K2Q1NR1,0,0,0,0,0,0,8,10,3,4,1,1,0,0,1,2,2,2,e4|g6|f4|Bg7|Nf3|Nh6|c3|f6|d4|Nf7|Bc4|e6|e5|O-O|Be3|d5|Bd3|f5|Nbd2|b6|Qe2|a5|h3|Ba6|g4|Bxd3|Qxd3|Kh8|O-O-O|Nd7|Kb1|Qc8|gxf5|gxf5|Rdg1|Qa6|Qc2|c5|Rg2|Rac8|Qd1|Qd3+|Ka1|Qxe3|Re1|Qxf4|Reg1|Bh6|Nf1|cxd4|Nxd4|Qxe5|Re2|Qf6|Rxe6|Qh4|Nxf5|Qxh3|Nxh6|Nxh6
27354758-0149-4e8c-9eef-4a9ddcf939d0,61,31,Friendly95,Ne3,f1e3,f1,e3,N,White,2r2r1k/3n3p/1p2R2n/p2p4/8/2P1N2q/PP6/K2Q2R1,0,0,0,0,0,0,8,10,3,4,1,1,0,0,1,2,2,2,e4|g6|f4|Bg7|Nf3|Nh6|c3|f6|d4|Nf7|Bc4|e6|e5|O-O|Be3|d5|Bd3|f5|Nbd2|b6|Qe2|a5|h3|Ba6|g4|Bxd3|Qxd3|Kh8|O-O-O|Nd7|Kb1|Qc8|gxf5|gxf5|Rdg1|Qa6|Qc2|c5|Rg2|Rac8|Qd1|Qd3+|Ka1|Qxe3|Re1|Qxf4|Reg1|Bh6|Nf1|cxd4|Nxd4|Qxe5|Re2|Qf6|Rxe6|Qh4|Nxf5|Qxh3|Nxh6|Nxh6|Ne3
27354758-0149-4e8c-9eef-4a9ddcf939d0,62,31,galunGGong,Qxe6,h3e6,h3,e6,Q,Black,2r2r1k/3n3p/1p2q2n/p2p4/8/2P1N3/PP6/K2Q2R1,0,0,0,0,0,0,7,10,3,4,1,1,0,0,1,2,1,2,e4|g6|f4|Bg7|Nf3|Nh6|c3|f6|d4|Nf7|Bc4|e6|e5|O-O|Be3|d5|Bd3|f5|Nbd2|b6|Qe2|a5|h3|Ba6|g4|Bxd3|Qxd3|Kh8|O-O-O|Nd7|Kb1|Qc8|gxf5|gxf5|Rdg1|Qa6|Qc2|c5|Rg2|Rac8|Qd1|Qd3+|Ka1|Qxe3|Re1|Qxf4|Reg1|Bh6|Nf1|cxd4|Nxd4|Qxe5|Re2|Qf6|Rxe6|Qh4|Nxf5|Qxh3|Nxh6|Nxh6|Ne3|Qxe6
27354758-0149-4e8c-9eef-4a9ddcf939d0,63,32,Friendly95,Nxd5,e3d5,e3,d5,N,White,2r2r1k/3n3p/1p2q2n/p2N4/8/2P5/PP6/K2Q2R1,0,0,0,0,0,0,7,9,3,3,1,1,0,0,1,2,1,2,e4|g6|f4|Bg7|Nf3|Nh6|c3|f6|d4|Nf7|Bc4|e6|e5|O-O|Be3|d5|Bd3|f5|Nbd2|b6|Qe2|a5|h3|Ba6|g4|Bxd3|Qxd3|Kh8|O-O-O|Nd7|Kb1|Qc8|gxf5|gxf5|Rdg1|Qa6|Qc2|c5|Rg2|Rac8|Qd1|Qd3+|Ka1|Qxe3|Re1|Qxf4|Reg1|Bh6|Nf1|cxd4|Nxd4|Qxe5|Re2|Qf6|Rxe6|Qh4|Nxf5|Qxh3|Nxh6|Nxh6|Ne3|Qxe6|Nxd5
