game_id,move_no,move_no_pair,player,notation,move,from_square,to_square,piece,color,fen,is_check,is_check_mate,is_fifty_moves,is_fivefold_repetition,is_game_over,is_insufficient_material,white_count,black_count,white_pawn_count,black_pawn_count,white_queen_count,black_queen_count,white_bishop_count,black_bishop_count,white_knight_count,black_knight_count,white_rook_count,black_rook_count,move_sequence
bc986743-d35d-4742-9a84-aaa2a74f31e8,23,12,Steynic111,Kh1,g1h1,g1,h1,K,White,r2qr2k/ppp2p1p/2np1p2/2bNp3/2B1P3/3P1P2/PPPQ1P1P/R4R1K,0,0,0,0,0,0,14,14,8,8,1,1,1,1,1,1,2,2,e4|e5|Nf3|Nc6|Bc4|Nf6|O-O|Bc5|d3|d6|Nc3|Bg4|Bg5|O-O|Nd5|Re8|Bxf6|gxf6|Qd2|Bxf3|gxf3|Kh8|Kh1
bc986743-d35d-4742-9a84-aaa2a74f31e8,24,12,Seda-Kirakosyan,Rg8,e8g8,e8,g8,R,Black,r2q2rk/ppp2p1p/2np1p2/2bNp3/2B1P3/3P1P2/PPPQ1P1P/R4R1K,0,0,0,0,0,0,14,14,8,8,1,1,1,1,1,1,2,2,e4|e5|Nf3|Nc6|Bc4|Nf6|O-O|Bc5|d3|d6|Nc3|Bg4|Bg5|O-O|Nd5|Re8|Bxf6|gxf6|Qd2|Bxf3|gxf3|Kh8|Kh1|Rg8
bc986743-d35d-4742-9a84-aaa2a74f31e8,25,13,Steynic111,Rg1,f1g1,f1,g1,R,White,r2q2rk/ppp2p1p/2np1p2/2bNp3/2B1P3/3P1P2/PPPQ1P1P/R5RK,0,0,0,0,0,0,14,14,8,8,1,1,1,1,1,1,2,2,e4|e5|Nf3|Nc6|Bc4|Nf6|O-O|Bc5|d3|d6|Nc3|Bg4|Bg5|O-O|Nd5|Re8|Bxf6|gxf6|Qd2|Bxf3|gxf3|Kh8|Kh1|Rg8|Rg1
bc986743-d35d-4742-9a84-aaa2a74f31e8,26,13,Seda-Kirakosyan,Nd4,c6d4,c6,d4,N,Black,r2q2rk/ppp2p1p/3p1p2/2bNp3/2BnP3/3P1P2/PPPQ1P1P/R5RK,0,0,0,0,0,0,14,14,8,8,1,1,1,1,1,1,2,2,e4|e5|Nf3|Nc6|Bc4|Nf6|O-O|Bc5|d3|d6|Nc3|Bg4|Bg5|O-O|Nd5|Re8|Bxf6|gxf6|Qd2|Bxf3|gxf3|Kh8|Kh1|Rg8|Rg1|Nd4
bc986743-d35d-4742-9a84-aaa2a74f31e8,27,14,Steynic111,Qh6,d2h6,d2,h6,Q,White,r2q2rk/ppp2p1p/3p1p1Q/2bNp3/2BnP3/3P1P2/PPP2P1P/R5RK,0,0,0,0,0,0,14,14,8,8,1,1,1,1,1,1,2,2,e4|e5|Nf3|Nc6|Bc4|Nf6|O-O|Bc5|d3|d6|Nc3|Bg4|Bg5|O-O|Nd5|Re8|Bxf6|gxf6|Qd2|Bxf3|gxf3|Kh8|Kh1|Rg8|Rg1|Nd4|Qh6
bc986743-d35d-4742-9a84-aaa2a74f31e8,28,14,Seda-Kirakosyan,Nxf3,d4f3,d4,f3,N,Black,r2q2rk/ppp2p1p/3p1p1Q/2bNp3/2B1P3/3P1n2/PPP2P1P/R5RK,0,0,0,0,0,0,13,14,7,8,1,1,1,1,1,1,2,2,e4|e5|Nf3|Nc6|Bc4|Nf6|O-O|Bc5|d3|d6|Nc3|Bg4|Bg5|O-O|Nd5|Re8|Bxf6|gxf6|Qd2|Bxf3|gxf3|Kh8|Kh1|Rg8|Rg1|Nd4|Qh6|Nxf3
bc986743-d35d-4742-9a84-aaa2a74f31e8,29,15,Steynic111,Nxf6,d5f6,d5,f6,N,White,r2q2rk/ppp2p1p/3p1N1Q/2b1p3/2B1P3/3P1n2/PPP2P1P/R5RK,0,0,0,0,0,0,13,13,7,7,1,1,1,1,1,1,2,2,e4|e5|Nf3|Nc6|Bc4|Nf6|O-O|Bc5|d3|d6|Nc3|Bg4|Bg5|O-O|Nd5|Re8|Bxf6|gxf6|Qd2|Bxf3|gxf3|Kh8|Kh1|Rg8|Rg1|Nd4|Qh6|Nxf3|Nxf6
bc986743-d35d-4742-9a84-aaa2a74f31e8,30,15,Seda-Kirakosyan,Rxg1+,g8g1,g8,g1,R,Black,r2q3k/ppp2p1p/3p1N1Q/2b1p3/2B1P3/3P1n2/PPP2P1P/R5rK,1,0,0,0,0,0,12,13,7,7,1,1,1,1,1,1,1,2,e4|e5|Nf3|Nc6|Bc4|Nf6|O-O|Bc5|d3|d6|Nc3|Bg4|Bg5|O-O|Nd5|Re8|Bxf6|gxf6|Qd2|Bxf3|gxf3|Kh8|Kh1|Rg8|Rg1|Nd4|Qh6|Nxf3|Nxf6|Rxg1+
bc986743-d35d-4742-9a84-aaa2a74f31e8,31,16,Steynic111,Rxg1,a1g1,a1,g1,R,White,r2q3k/ppp2p1p/3p1N1Q/2b1p3/2B1P3/3P1n2/PPP2P1P/6RK,0,0,0,0,0,0,12,12,7,7,1,1,1,1,1,1,1,1,e4|e5|Nf3|Nc6|Bc4|Nf6|O-O|Bc5|d3|d6|Nc3|Bg4|Bg5|O-O|Nd5|Re8|Bxf6|gxf6|Qd2|Bxf3|gxf3|Kh8|Kh1|Rg8|Rg1|Nd4|Qh6|Nxf3|Nxf6|Rxg1+|Rxg1
bc986743-d35d-4742-9a84-aaa2a74f31e8,32,16,Seda-Kirakosyan,Nxg1,f3g1,f3,g1,N,Black,r2q3k/ppp2p1p/3p1N1Q/2b1p3/2B1P3/3P4/PPP2P1P/6nK,0,0,0,0,0,0,11,12,7,7,1,1,1,1,1,1,0,1,e4|e5|Nf3|Nc6|Bc4|Nf6|O-O|Bc5|d3|d6|Nc3|Bg4|Bg5|O-O|Nd5|Re8|Bxf6|gxf6|Qd2|Bxf3|gxf3|Kh8|Kh1|Rg8|Rg1|Nd4|Qh6|Nxf3|Nxf6|Rxg1+|Rxg1|Nxg1
